Wall time,Step,Value
1736368698.2409692,2990000,1243.2857666015625
1736368775.4487917,3000000,1244.92138671875
1736368831.8973193,3010000,1245.491455078125
1736368909.7438211,3020000,1241.3916015625
1736368965.7559245,3030000,1244.828125
1736369046.5217712,3040000,1243.8134765625
1736369097.483225,3050000,1245.3404541015625
1736369154.1767848,3060000,1244.4141845703125
1736369234.3589175,3070000,1244.4925537109375
1736369296.5391636,3080000,1245.6856689453125
1736369368.9832535,3090000,1244.3311767578125
1736369426.1188076,3100000,1246.3624267578125
1736369508.7325175,3110000,1248.4053955078125
1736369559.234243,3120000,1245.4329833984375
1736369635.9870827,3130000,1245.183837890625
1736369691.4907234,3140000,1244.253173828125
1736369772.8133316,3150000,1240.3758544921875
1736369827.1366556,3160000,1239.568603515625
1736369906.5126548,3170000,1239.5390625
1736369961.8851488,3180000,1235.9111328125
1736370043.962465,3190000,1235.1568603515625
1736370101.6431916,3200000,1237.3197021484375
1736370185.9587522,3210000,1238.6361083984375
1736370248.3465352,3220000,1239.3477783203125
1736370323.1789536,3230000,1235.8818359375
1736370376.755189,3240000,1233.3465576171875
1736370456.4203768,3250000,1231.991455078125
1736370515.2072775,3260000,1231.4088134765625
1736370596.6352758,3270000,1235.2515869140625
1736370651.0310733,3280000,1240.2911376953125
1736370707.9093955,3290000,1231.26171875
1736370793.1456757,3300000,1229.5975341796875
1736370857.3055773,3310000,1229.6514892578125
1736370931.6847208,3320000,1229.751220703125
1736370988.27322,3330000,1231.27880859375
1736371066.5517032,3340000,1240.1510009765625
1736371119.2290194,3350000,1241.4593505859375
1736371201.212515,3360000,1242.2103271484375
1736371257.634937,3370000,1245.1512451171875
1736371335.7754412,3380000,1245.3780517578125
1736371393.0300004,3390000,1243.6593017578125
1736371472.655822,3400000,1245.9989013671875
1736371527.9130995,3410000,1240.71533203125
1736371609.1747358,3420000,1242.809814453125
1736371663.3363228,3430000,1248.49609375
1736371740.8468194,3440000,1250.81787109375
1736371802.6865854,3450000,1254.354248046875
1736371882.549245,3460000,1258.4046630859375
1736371938.2025259,3470000,1261.8936767578125
1736372020.185606,3480000,1265.875244140625
1736372076.6303937,3490000,1264.8724365234375
1736372150.7756553,3500000,1267.6910400390625
1736372206.8850956,3510000,1266.3779296875
1736372263.9108813,3520000,1261.3060302734375
1736372344.4669387,3530000,1257.5059814453125
1736372397.823176,3540000,1254.52197265625
1736372483.579692,3550000,1255.1768798828125
1736372542.1916947,3560000,1255.635498046875
1736372618.2556682,3570000,1249.4407958984375
1736372669.3508549,3580000,1246.451416015625
1736372747.464759,3590000,1246.0147705078125
1736372807.5279114,3600000,1235.5885009765625
1736372884.785254,3610000,1236.508544921875
1736372938.3740916,3620000,1236.490478515625
1736373020.4893036,3630000,1236.0081787109375
1736373076.1075761,3640000,1233.15673828125
1736373153.5314713,3650000,1237.3804931640625
1736373211.1429896,3660000,1237.477783203125
1736373291.999504,3670000,1237.37255859375
1736373347.67704,3680000,1236.1258544921875
1736373428.4052286,3690000,1233.80078125
1736373483.5802271,3700000,1231.8502197265625
1736373568.0149264,3710000,1229.177490234375
1736373618.3323386,3720000,1229.5457763671875
1736373696.493475,3730000,1233.296142578125
1736373752.9680932,3740000,1233.3831787109375
1736373834.345027,3750000,1233.761474609375
1736373889.2663803,3760000,1232.2587890625
1736373973.2315707,3770000,1237.5950927734375
1736374029.1081977,3780000,1240.571533203125
1736374113.0173728,3790000,1239.29150390625
1736374173.494863,3800000,1237.29150390625
1736374250.3819702,3810000,1239.1915283203125
1736374304.9454932,3820000,1240.907470703125
1736374359.2666035,3830000,1245.6656494140625
1736374442.6735687,3840000,1247.013427734375
1736374498.0685525,3850000,1247.808837890625
1736374577.0443165,3860000,1248.5772705078125
1736374634.2074556,3870000,1247.1171875
1736374713.3470821,3880000,1243.8443603515625
1736374770.6910698,3890000,1246.66650390625
1736374853.0676186,3900000,1251.9688720703125
1736374903.2967367,3910000,1254.1007080078125
1736374984.4823618,3920000,1252.9847412109375
1736375042.0528374,3930000,1248.324951171875
1736375116.820513,3940000,1247.0360107421875
1736375173.508134,3950000,1242.350830078125
1736375253.9720404,3960000,1244.5614013671875
1736375309.9948654,3970000,1243.8006591796875
1736375395.6969771,3980000,1243.7337646484375
1736375449.552034,3990000,1248.918701171875
1736375529.608986,4000000,1253.0181884765625
1736375583.0551422,4010000,1252.5992431640625
1736375666.3638752,4020000,1249.751220703125
1736375721.5370553,4030000,1244.90087890625
1736375801.504278,4040000,1247.2818603515625
1736375861.5960193,4050000,1251.121826171875
1736375940.6698124,4060000,1249.5206298828125
1736375997.5718617,4070000,1251.6015625
1736376081.329595,4080000,1252.80810546875
1736376136.0386016,4090000,1260.3359375
1736376212.9565253,4100000,1264.50537109375
